series,class,d_mm,P_mm,d2_mm,As_mm2,Dk_mm,Lk_mm,Eb_MPa,Ec_MPa,muG,muK,MA_Nm,FA_N,deltaZ_mm,deltaS_mm_per_N,deltaP_mm_per_N,Phi,F_proof_N,FM_N,Fb_max_N,Fk_residual_N,sigma_b_MPa,SF_yield,SF_ult,pass_fail,fail_reason
M6,10.9,6.0,1.0,5.35,20.1,12.91505956696157,25.317774620444744,210000.0,77507.89805885965,0.09867625903421673,0.14728334738683876,17.81359565306078,1979.1925713304029,0.005511136209983053,6.708783373713514e-06,7.640130383633032e-07,0.10223924167512159,18894.0,13225.8,13428.151147621853,10711.465420305496,668.067221274719,1.4070440369854011,1.556729572834912,1,ok
M16,8.8,16.0,2.0,14.701,157.0,39.43275048486859,65.80422215600514,210000.0,157425.43811688226,0.08340886391839591,0.09632278756258525,191.1380025851242,1666.227967542188,0.019789521115390778,2.238526604671069e-06,1.16939817548508e-07,0.04964614075810708,100480.0,70336.0,70418.7217882117,60350.964115676754,448.52689037077516,1.4268932671371017,1.7836165839213771,1,ok
M16,8.8,16.0,2.0,14.701,157.0,26.222843112779273,112.06733455904825,210000.0,71764.8210277198,0.19383486320599227,0.16326774054421567,229.11390848914542,3595.0530133430066,0.0132822151255742,3.641714727299007e-06,4.872060586265522e-07,0.11799840294522332,100480.0,70336.0,70760.21051407789,63948.28417857044,450.70197779667444,1.420007081239665,1.7750088515495812,1,ok
M6,8.8,6.0,1.0,5.35,20.1,11.904932622616457,38.69640859232055,210000.0,129905.40836330151,0.1762974307781544,0.12608299308718265,10.631526805771939,2425.0080912891835,0.016675189281997117,9.878324707965068e-06,5.629950665212293e-07,0.05391991421399869,12864.0,9004.8,9135.556228250565,5113.509674185489,454.5052849875903,1.4081244402195991,1.760155550274499,1,ok
M24,12.9,24.0,3.0,22.051,353.0,43.384217178840146,84.26488993599897,210000.0,138778.33354988316,0.13907618054411316,0.11069499546991202,1020.2521445542184,82765.44241188663,0.01609684250198617,1.2985955744772556e-06,1.2666474730884487e-07,0.08887130678703789,388300.0,271810.0,279165.4730239517,185106.06399001385,790.8370340621861,1.3909313203881943,1.542669282612361,1,ok
M8,10.9,8.0,1.25,7.188,36.6,15.260736360039857,21.766941145574236,210000.0,196715.29206248326,0.17217108383910684,0.14171646413739863,39.76838052359781,3037.464917940808,0.01902384238190187,3.3524513590390626e-06,2.2854194599084844e-07,0.06382082470521108,34404.0,24082.8,24276.653516076127,15926.740134414169,663.2965441550854,1.4171640245727235,1.5679261548464176,1,ok
M8,10.9,8.0,1.25,7.188,36.6,14.130670744489102,48.877116777869716,210000.0,88223.49935065981,0.0992982714753818,0.16379752618280358,39.87135371593853,11592.207779996173,0.015055622382417231,6.879666507659344e-06,7.073820557331711e-07,0.0932354722423008,34404.0,24082.8,25163.604966698815,11587.012579615697,687.5301903469622,1.367212688544817,1.5126608469006486,1,ok
M8,12.9,8.0,1.25,7.188,36.6,15.752032208170101,39.768357862877195,210000.0,171475.78608375753,0.1318265609535855,0.05,22.753123909602888,2665.8521371447,0.010880049144515371,5.694556058141711e-06,3.039598988610273e-07,0.050672516509051024,40260.0,28182.0,28317.085436430152,23837.44315143832,773.6908589188566,1.4217564901013857,1.576857198112446,1,ok
M10,12.9,10.0,1.5,9.026,58.0,23.63851098032832,58.12596463796623,210000.0,172276.62167839188,0.13957004053090236,0.11901672202259328,92.53789487533994,2145.26075304411,0.005854151445249951,5.18275571740281e-06,2.002422155317056e-07,0.037199014011611284,63800.0,44660.0,44739.801584811044,41507.014602296775,771.3758893932938,1.4260233112356897,1.5815894906432195,1,ok
M8,12.9,8.0,1.25,7.188,36.6,12.088826157883613,49.57869197329443,210000.0,173023.7999784549,0.15786281971010105,0.18686240948777683,47.6469668804686,6662.859422758839,0.017236032268000176,6.970946132356809e-06,4.3525909036097196e-07,0.0587695151932678,40260.0,28182.0,28573.573018076433,19583.47153954382,780.6987163408861,1.4089942470453525,1.562702710359391,1,ok
M10,10.9,10.0,1.5,9.026,58.0,24.322848131033243,78.94145516788109,210000.0,159419.01638733427,0.16503337888295613,0.14187976375344383,94.59331284568903,10054.76169908845,0.0058324767121490755,6.891745087674966e-06,2.2447436221851152e-07,0.0315440472007748,54520.0,38164.0,38481.16787762859,27606.802911213075,663.4684116832516,1.4167969166989793,1.5675199929435517,1,ok
M20,10.9,20.0,2.5,18.376,245.0,44.663075413214145,112.96147138463067,210000.0,177418.84471577808,0.17411713021924918,0.17921011664370373,895.0674299591341,63243.12222320592,0.007027983243426946,2.389921698437914e-06,1.0365889351251326e-07,0.041570300092620395,230300.0,161210.0,163839.03556961293,97777.48298722228,668.7307574269915,1.4056479226658334,1.5551849357153902,1,ok
M12,12.9,12.0,1.75,10.863,84.3,25.991608939789813,72.1931958335336,210000.0,98376.82982089909,0.1571407564566221,0.12202085481772512,155.21031449379237,14612.384117758817,0.01776251413669022,4.416946044937784e-06,3.287374455785292e-07,0.06927083237545699,92730.0,64910.99999999999,65923.21201082705,47567.94993414272,782.0072599149116,1.4066365574658328,1.5600878182802873,1,ok
