series,class,d_mm,P_mm,d2_mm,As_mm2,Dk_mm,Lk_mm,Eb_MPa,Ec_MPa,muG,muK,MA_Nm,FA_N,deltaZ_mm,deltaS_mm_per_N,deltaP_mm_per_N,Phi,F_proof_N,FM_N,Fb_max_N,Fk_residual_N,sigma_b_MPa,SF_yield,SF_ult,pass_fail,fail_reason
M6,10.9,6.0,1.0,5.35,20.1,11.689575071776272,31.68678791898265,210000.0,174657.3153493341,0.1487659098505377,0.14367315478612255,16.67238894411885,6723.095731273152,0.010670914587639833,8.217670674954429e-06,4.093083710033311e-07,0.0474451565052909,18894.0,13225.799999999997,13544.778329170305,5584.758927305908,673.8695686154381,1.394928698043696,1.5433253680483443,1,ok
M6,10.9,6.0,1.0,5.35,20.1,11.689575071776272,31.68678791898265,210000.0,174657.3153493341,0.15826614312558124,0.14203947810372392,16.102076891057262,6723.095731273152,0.010670914587639833,8.217670674954429e-06,4.093083710033311e-07,0.0474451565052909,18894.0,12803.286713268839,13122.265042439147,5162.24564057475,652.8490070865247,1.4398428883195316,1.5930176636726732,1,ok
M16,8.8,16.0,2.0,14.701,157.0,25.012025235721264,66.15443063750716,210000.0,111806.24082545014,0.1710169096536923,0.1271360543690318,180.40681354599357,22068.971544253884,0.012682942605687204,2.249148639293514e-06,2.970391567918968e-07,0.11666034895327601,100480.0,70336.0,72910.57392139257,45860.45266572057,464.3985600088699,1.378126581589263,1.7226582269865787,1,ok
M16,8.8,16.0,2.0,14.701,157.0,25.012025235721264,66.15443063750716,210000.0,111806.24082545014,0.16358059185786003,0.133988179027667,174.6078547280922,22068.971544253884,0.012682942605687204,2.249148639293514e-06,2.970391567918968e-07,0.11666034895327601,100480.0,65968.4026391683,68542.97656056087,41492.85530488887,436.57946853860426,1.46594158937964,1.8324269867245497,1,ok
M16,10.9,16.0,2.0,14.701,157.0,39.27650427613538,100.34270975441554,210000.0,135925.8640493761,0.17280854779622087,0.14014374558248754,404.68162325480506,58509.43153545138,0.008826103536235003,3.28609978023705e-06,1.5425200916774532e-07,0.044836115202751395,147580.0,103306.0,105929.335612771,44854.438660841966,674.7091440303885,1.3931929162615038,1.5414049286297489,1,ok
M16,10.9,16.0,2.0,14.701,157.0,39.27650427613538,100.34270975441554,210000.0,135925.8640493761,0.189639565710746,0.1522011629167958,382.2768759548214,58509.43153545138,0.008826103536235003,3.28609978023705e-06,1.5425200916774532e-07,0.044836115202751395,147580.0,90339.21808409225,92962.55369686325,31887.65674493422,592.1181764131418,1.5875209332268982,1.7564061388893342,1,ok
M6,8.8,6.0,1.0,5.35,20.1,12.440776266025603,43.66483994534748,210000.0,94008.34254417903,0.1333842416827305,0.13524737856001862,11.249062997137356,3122.66867141458,0.016862543600598964,1.1055399181555906e-05,7.562226126724482e-07,0.0640236053817749,12864.0,9004.8,9204.724506756678,4654.43277947701,457.9464928734665,1.3975431845415094,1.7469289806768866,1,ok
M6,8.8,6.0,1.0,5.35,20.1,12.440776266025603,43.66483994534748,210000.0,94008.34254417903,0.14287244619337064,0.15340415666174453,10.451749747147437,3122.66867141458,0.016862543600598964,1.1055399181555906e-05,7.562226126724482e-07,0.0640236053817749,12864.0,7528.102149920662,7728.02665667734,3177.734929397672,384.4789381431512,1.6645905315149196,2.0807381643936496,1,ok
M24,10.9,24.0,3.0,22.051,353.0,47.921282136574916,64.48487973805216,210000.0,74047.62314295056,0.12311780794511867,0.17328676807520116,1330.52031992022,110443.07143458823,0.0039126629470464525,1.031766892459897e-06,1.8906489082867457e-07,0.1548656362135231,331820.0,232273.99999999994,249377.83652309302,135729.84939036757,706.452794682983,1.330591381440879,1.472143656062249,1,ok
M24,10.9,24.0,3.0,22.051,353.0,47.921282136574916,64.48487973805216,210000.0,74047.62314295056,0.11794421494364879,0.18272832204293527,1245.325091038285,110443.07143458823,0.0039126629470464525,1.031766892459897e-06,1.8906489082867457e-07,0.1548656362135231,331820.0,208513.18031019662,225617.0168332897,111969.02970056422,639.1416907458632,1.4707223978818253,1.6271822274437215,1,ok
M8,10.9,8.0,1.25,7.188,36.6,13.435721358855513,26.35987885008525,210000.0,182441.39668195945,0.13429811032354516,0.18778901157211692,43.75324892191462,14079.420433793994,0.015056029279040758,3.950023269592148e-06,3.1208075813472236e-07,0.07322222923337843,34404.0,24082.8,25113.726550476375,7501.77167334298,686.1673920895184,1.3699281120566076,1.515665145254119,1,ok
M8,10.9,8.0,1.25,7.188,36.6,13.435721358855513,26.35987885008525,210000.0,182441.39668195945,0.13152811989453198,0.18610350067225642,45.12175461754422,14079.420433793994,0.015056029279040758,3.950023269592148e-06,3.1208075813472236e-07,0.07322222923337843,34404.0,25061.18526434339,26092.111814819764,8480.15693768637,712.8992299131082,1.3185594268555627,1.458831706308282,1,ok
M8,10.9,8.0,1.25,7.188,36.6,17.034423371694103,45.28878411788,210000.0,139703.11557987033,0.0631519558370527,0.09638360759384872,29.47349885005522,6630.732596668452,0.010703008407958535,6.412800431678376e-06,3.4950208195471183e-07,0.0516838874407202,34404.0,24082.8,24425.502037175727,16212.023269897363,667.363443638681,1.4085278553389387,1.5583712442047832,1,ok
M8,10.9,8.0,1.25,7.188,36.6,17.034423371694103,45.28878411788,210000.0,139703.11557987033,0.07153674520302558,0.10409037633877656,28.354290040832925,6630.732596668452,0.010703008407958535,6.412800431678376e-06,3.4950208195471183e-07,0.0516838874407202,34404.0,21650.67753763898,21993.37957481471,13779.900807536345,600.912010240839,1.564288920807654,1.7307026357871917,1,ok
M8,10.9,8.0,1.25,7.188,36.6,12.000128698557713,29.34391429102416,210000.0,136889.30481764884,0.08260062070730007,0.16306529135605546,34.411614307763315,10829.323743147559,0.013586328661682703,4.338266236146782e-06,4.956962276960748e-07,0.10254449251598263,34404.0,24082.8,25193.287507532346,11553.365055084514,688.341188730392,1.36560184889383,1.5108786413293438,1,ok
M8,10.9,8.0,1.25,7.188,36.6,12.000128698557713,29.34391429102416,210000.0,136889.30481764884,0.08132165962597022,0.18451897088821104,33.81681726614363,10829.323743147559,0.013586328661682703,4.338266236146782e-06,4.956962276960748e-07,0.10254449251598263,34404.0,21447.35664380624,22557.844151338588,8917.921698890756,616.3345396540598,1.5251457439455027,1.6873952911737478,1,ok
M10,10.9,10.0,1.5,9.026,58.0,21.77424763417963,53.92506037263235,210000.0,157468.79389997455,0.12744220114390106,0.1439556405976913,85.51805486762122,8019.340678421649,0.012049337530048769,4.837853889378683e-06,2.3826984252068874e-07,0.04693932912299865,54520.0,38164.0,38540.42247145389,28147.35369528546,664.4900426112739,1.414618639439717,1.5651099840609637,1,ok
