series,class,d_mm,P_mm,d2_mm,As_mm2,Dk_mm,Lk_mm,Eb_MPa,Ec_MPa,muG,muK,MA_Nm,FA_N,deltaZ_mm,deltaS_mm_per_N,deltaP_mm_per_N,Phi,F_proof_N,FM_target_N,FM_N,k_vdi,k_meas,delta_k,Fb_max_N,Fk_residual_N,sigma_b_MPa,SF_yield,SF_ult,pass_fail,fail_reason
M8,12.9,8.0,1.25,7.188,36.6,13.464048298538275,71.33341706784998,202931.20602624686,204092.6957352655,0.13811668985994138,0.056877012646771585,22.60055297921519,181.7456764830338,0.01653448723587401,4.224808423455232e-06,4.364729041563142e-06,0.508144828442611,40260.0,28182.0,28182.0,0.7,0.7,0.0,28274.35312559666,26167.650802354456,772.5233094425316,1.42390525509681,1.5792403738346439,1,ok
M20,10.9,20.0,2.5,18.376,245.0,44.85250304504479,51.68893501009053,207518.6278369029,200798.7204556235,0.11162314057095542,0.13042185217251875,664.0127429105574,47245.77135878662,0.019804175617298855,8.371617943540876e-07,2.4440099359878294e-07,0.22597023152153123,230300.0,161210.0,161210.0,0.7,0.7,0.0,171886.13789235835,106329.66294993307,701.5760730300341,1.3398404480076378,1.4823766658807906,1,ok
M16,12.9,16.0,2.0,14.701,157.0,27.952728629873107,56.71842071156739,200553.37329167663,207597.59136728628,0.15132117346590848,0.11765618308888018,312.1080095458868,35977.025372942,0.01426593521701513,1.6000431116171164e-06,7.484549834328209e-07,0.3186951630961004,172700.0,120889.99999999999,120889.99999999999,0.7,0.7,0.0,132355.70396894228,90304.18560531647,843.0299615856196,1.304817207126371,1.4471609024492478,1,ok
M8,10.9,8.0,1.25,7.188,36.6,18.509861629423057,68.57012206671635,205356.1395688907,209098.4184764592,0.13627219612071761,0.16838179185189453,52.09994282338628,5783.204709077235,0.016937806570341954,3.7624623585775435e-06,1.7382645025651363e-06,0.3160063290624909,34404.0,24082.8,24082.8,0.7,0.7,0.0,25910.329290332407,17047.930322403456,707.9324942713772,1.3278102186388163,1.4690666248769884,1,ok
M24,8.8,24.0,3.0,22.051,353.0,42.48953927288021,79.98086308291099,205471.5664168698,201769.03459842433,0.1408498817303488,0.08241172329676369,475.2788163760506,44910.23701433696,0.019927987764440738,1.9285924608246423e-06,5.343461291011248e-07,0.2169547106398743,225920.0,158144.0,158144.0,0.7,0.7,0.0,167887.48747621366,114886.10769203548,475.6019475246846,1.345663118771781,1.6820788984647264,1,ok
M10,10.9,10.0,1.5,9.026,58.0,21.084261967579934,35.71552117638351,204286.5556949,204782.7591844669,0.16507963657919686,0.14576380553212492,86.2376922567214,13760.597834252076,0.004356546864406088,4.964892792539962e-06,6.9176023573412e-07,0.12229143846660594,54520.0,38164.0,38164.0,0.7,0.7,0.0,39846.80330331115,25316.04211581283,687.0138500570888,1.3682402471535164,1.5137977202549542,1,ok
M10,8.8,10.0,1.5,9.026,58.0,21.943963731791744,48.81757315758682,203442.76625882974,207805.66797389634,0.1449710159184264,0.07822714075529597,37.51387018469831,3134.928372293488,0.00935526242588771,1.8273641724828468e-06,8.854383736105263e-07,0.32639248841963087,37120.0,25984.0,25984.0,0.7,0.7,0.0,27007.217072450174,20423.728671576668,465.641673662934,1.3744474264201694,1.7180592830252117,1,ok
M10,10.9,10.0,1.5,9.026,58.0,20.764036151675928,41.66056037321992,206882.10919869717,202926.12453084183,0.12511458984789917,0.14068223353079484,80.66624960571154,5442.784390304203,0.0038838584587429603,2.606324157727087e-06,8.813676936879318e-07,0.2527080175762504,54520.0,38164.0,38164.0,0.7,0.7,0.0,39539.435253368734,32983.060951969834,681.7144009201506,1.3788765482014549,1.5255655426909713,1,ok
M12,8.8,12.0,1.75,10.863,84.3,23.33384059035796,70.63872897172664,208495.2063209784,202681.08326796797,0.16314731629512821,0.13864527755614972,92.09177208672997,7875.36904042364,0.007250890088024438,3.890410926365828e-06,1.437299807257554e-06,0.26977812406118473,53952.0,37766.399999999994,37766.399999999994,0.6999999999999998,0.6999999999999998,0.0,39891.00228601502,30654.65656150382,473.20287409270486,1.3524854455440565,1.6906068069300706,1,ok
M10,12.9,10.0,1.5,9.026,58.0,18.96529555563568,55.79664110221428,207073.24477765546,204959.43818057395,0.16049847616047266,0.1556411099102455,97.47268706413331,11294.9458048922,0.007416359479538358,2.754117317310471e-06,1.5713298569578685e-06,0.36327570159810424,63800.0,44660.0,44660.0,0.7,0.7,0.0,48763.17936178478,35753.64563551937,840.74447175491,1.308364237833094,1.4510948819603404,1,ok
